Question,Answer
إزاي أفتح حساب جاري أو توفير؟,الزم تزور أقرب فرع ومعاك بطاقة الرقم القومي سارية، وتقدم طلب فتح حساب، وهتحتاج حد أدنى للرصيد(يختلف حسب نوع الحساب).
مصاريف فتح الحساب قد إيه؟,مصاريف فتح الحساب بتبدأ من 50 جنيه تقريبًا، وبتختلف حسب نوع الحساب.
هل ممكن أفتح حساب أونلاين؟,بعض البنوك بتوفر فتح حساب أونلاين من خلال التطبيق أو الموقع اإللكتروني، وبتحتاج تعمل تحقق من الهوية.
يعني إيه حساب مشترك؟,حساب بيكون باسم أكتر من شخص، وكلهم ليهم الحق في السحب وإليداع حسب نوع التوقيع المتفق عليه.
الحد األدنى للرصيد كام؟,بيختلف حسب نوع الحساب، وغالبًا بيكون ما بين 500 إلى 5000 جنيه.
إزاي أطلب بطاقة خصم(ائتمان)؟,ممكن تقدم الطلب من خلال الفرع أو أونلاين، وهتحتاج يكون عندك حساب أو سجل ائتماني كويس للبطاقة االئتمانية.
نسيت الرقم السري للبطاقة، أعمل إيه؟,اتصل بخدمة العمالء فورا أو زور أقرب فرع إلعادة تعيين الرقم السري.
البطاقة اترفضت أثناء عملية شراء، ليه؟,ممكن يكون الحساب مفيهوش رصيد كافي، أو فيه حد يومي، أو البطاقة منتهية.
الفرق بين بطاقة الخصم واالئتمان؟,بطاقة الخصم بتسحب من رصيدك في الحساب، أما بطاقة االئتمان بتدينك مبلغ تدفعه آخر الشهر.
هل فيه مصاريف سنوية على البطاقات؟,آه، البطاقات غالبًا بيكون ليها رسوم سنوية بتختلف حسب نوع البطاقة.
إزاي أفعل تطبيق الموبايل البنكي؟,حمل التطبيق وسجل باستخدام بياناتك ورقم حسابك، وهتستلم كود التفعيل في رسالة.
هل ممكن أحول فلوس من التطبيق؟,آه، تقدر تحول ألي حساب داخل أو خارج البنك من خالل التطبيق.
التحويالت بتاخد وقت قد إيه؟,داخل البنك فوري، لبنوك تانية بتاخد من 24 لحد 72 ساعة عمل.
" إزاي أغير الرقم السري للتطبيق؟",من داخل إلعدادات في التطبيق أو من خلال االتصال بخدمة العملاء.
هل التطبيق آمن؟,التطبيق بيستخدم تشفير عالي وتحقق ثنائي لحماية بياناتك.
إزاي أقدم على قرض شخصي؟,الزم يكون عندك دخل ثابت وسجل ائتماني كويس، وتقدم طلب القرض في الفرع أو أونلاين.
ايه الاوراق المطلوبة للقرض؟,بطاقة الرقم القومي، إثبات دخل (مفردات مرتب أو سجل تجاري)، وإيصال مرافق حديث.
أقصى مبلغ للقرض كام؟,بيتحدد حسب دخلك الشهري وقدرتك على السداد.
مدة سداد القرض قد إيه؟,من 6 شهور لحد 7 سنين حسب نوع القرض.
لو اتأخرت في القسط، إيه اللي بيحصل؟,البنك بيحسب غرامة تأخير وده ممكن يأثر على تقييمك االئتماني.
بطاقتي ضاعت، أعمل إيه؟,اتصل بخدمة العمالء فورا عشان توقف البطاقة، وهيتم إصدار بديلة.
فيه عملية مش من عندي، أتصرف إزاي؟,بلغ البنك فورا وهيتم مراجعة العملية وتعويضك لو ثبت إنها احتيالية .
 إزاي أعمل بالغ عن عملية مشبوهة؟,من خلال خدمة العمالء أو أقرب فرع.
هل بياناتي محمية؟,البنك بيتبع أعلى معايير الحماية والخصوصية وبيطلب تحقق عند كل معاملة.
هل لازم أبلغ عن تغيير عنواني أو رقمي؟,آه، مهم جدًا عشان توصلك كل اإلشعارات والحسابات تفضل محدثة.
ساعات عمل البنك؟,من الأحد للخميس من 8:30 صبا ًحا حتى 2:30 ظهًرا (بتختلف حسب الفرع).
فين أقرب فرع ليا؟,ممكن تستخدم خريطة الفروع على الموقع الرسمي أو تسأل خدمة العمالء.
إزاي أستلم كشف حساب؟,ممكن توصلك نسخة بالبريد أو من التطبيق أو من ماكينة ATM.
هل البنك بيقدم شهادات استثمار؟,آه، البنك بيقدم شهادات بعوائد متنوعة ومدة مختلفة حسب احتياجك.
هل ينفع أفتح حساب البني الصغير؟,آه، ينفع حساب قاصر باسم ولي الأمر، الزم بطاقة الرقم القومي وشهادة ميلاد الطفل.
